Board,Channel,Index,Type,Groups,,Group,Multiplier,,,Color:BlueMix,Color:Blue,Color:Pink,Color:Yellow
"A, 24V",0,0,W,W,,W,"1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1",,,255,255,,
,1,1,W,W,,R,"0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,2,2,W,W,,G,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,3,3,W,W,,B,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0",,,0,255,,
,4,4,W,W,,R1,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,5,5,W,W,,R2,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,6,6,W,W,,R3,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,7,7,W,W,,R4,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
"B, 24V",0,8,R,"R1,R,RB",,G1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,1,9,R,"R2,R,RB",,G2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,2,10,R,"R3,R,RT",,G3,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,3,11,R,"R4,R,RT",,G4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,4,12,W,W,,B1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,5,13,W,W,,B2,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",,,0,0,,
,6,14,W,W,,B3,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",,,0,0,,
,7,15,W,W,,B4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",,,0,0,,
"C, 36V",0,16,G,"G1,G,GB",,RB,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,70,0,,
,1,17,G,"G2,G,GB",,RT,"0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,60,0,,
,2,18,G,"G3,G,GT",,GB,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,150,0,,
,3,19,G,"G4,G,GT",,GT,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0",,,160,0,,
,4,20,B,"B1,B,BB",,BB,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0",,,255,0,,
,5,21,B,"B2,B,BB",,BT,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0",,,255,0,,
,6,22,B,"B3,B,BT",,,,,,,,,
,7,23,B,"B4,B,BT",,,,,,,,,
"D, 36V",0,24,W,W,,,,,,,,,
,1,25,W,W,,,,,,,,,
,2,26,W,W,,,,,,,,,
,3,27,W,W,,,,,,,,,
,4,28,W,W,,,,,,,,,
,5,29,W,W,,,,,,,,,
,6,30,W,W,,,,,,,,,
,7,31,W,W,,,,,,,,,